Commit A,Commit B,Hit/Dismiss
8e4b75a9,24fbe004,0
8f449614,12913a78,1
8f71209d,ba5e05ff,0
8f9aeb0d,78cf8efe,3
901f9c6d,6ca4c390,1
905f27b8,e26a8c47,0
90a78b83,f831acc6,0
90cf590f,cec9264f,1
912c13d5,71f35d5c,0
91b769c4,b0f4b408,0
924b7eb1,afc676f2,0
9318c5dd,e8e44de7,1
93fdf301,9f41c7a6,0
94028310,768c7cb7,0
940a911f,846df809,1
944cffbd,48be4c62,1
94e99012,166df26f,0
954176c1,967d7f89,0
957a0fe2,be7e795e,3
95d67879,72dd4a8e,0
967d7f89,61efc5c2,0
968004c3,e29300d6,1
96e08010,2b6456b8,1
974b50c5,825b9226,1
979f0303,f2140c38,0
98491298,4417df8c,1
984ad9e5,5b04ee3b,0
98718242,7202a6fa,0
98f2a687,9e58beca,0
993a21b0,7b35efd7,0
99429213,d4aae459,0
995bc22d,10881f07,0
996ee6d2,1b8132d9,1
99a64e4b,b66f3b6b,1
9a266912,7c8d2b00,1
9b35cadc,76f9d8ba,0
9b561499,b4da9d62,0
9ce2824e,352d72a3,0
9d77b040,5ab72271,0
9d9babb8,e8c16726,0
9dc3515c,aefc81ad,0
9e31eafe,4322478a,0
9e58beca,2b70e88d,1
9e6a4cfc,e0876bca,0
9e6c1e91,50b4a780,0
9e7ec634,18d0002d,0
9ec26e79,8109984d,0
9eed4f37,1e701059,0
9f23e040,c88098d7,0
9f41c7a6,7895b2b4,1
a0393a29,9c966371,0
a086f921,3e7eaed0,0
a0a1831b,b3cbdd41,0
a0bba65b,207a06ce,0
a199a7c9,6bc91f23,0
a1bc3dd4,be3ac81f,1
a220e2bb,1e274ef2,0
a28705da,92c28525,0
a42d7b6a,27b5c1a0,2
a42e1b41,f364f027,0
a43b68a1,a87bcd6d,0
a48f9bb1,574f5a59,0
a4dded01,eb7b9749,0
a52397cc,d0b39a03,0
a54e938e,5028bf62,2
a560d870,0c064d90,0
a58a1b01,654b9a90,1
a58a8e3f,f4fa8a9b,1
a5c1efd6,802de3da,0
a63d31b4,a883c31a,0
a6bb78c3,b439747b,0
a7d4c49a,f6136f3c,0
a8739244,3bc581b9,0
a8a5d251,6b34ce90,1
a903e233,deb8e15a,1
a91e6925,280abfd4,0
a92ea68f,d3101b53,0
a9508a13,8f71209d,0
a9b02de8,993a21b0,0
a9b5f5bf,944cffbd,1
a9dbc179,c251c83d,0
aa20cbc2,2bb73ae8,0
aa59e14b,f6fb30a0,0
aacc5c1a,1b283377,0
ab7797db,18a74a09,1
ac332012,ab37a18b,1
ac76fd54,2201ee09,0
accb613a,fab60274,0
ace976b2,f06e90da,0
adb33566,ae989a61,0
ae520e36,98f2a687,0
ae989a61,df8e472c,0
ae9f6311,f0bca72d,0
af4941d4,02a8cfa4,0
af6730e7,b8607f35,0
af920e36,2703c22f,1
afc676f2,55c529a7,0
afd67263,70471ed9,1
b0176ce6,cb7fb9ed,1
b051c59a,77773228,0
b153d2ae,0f8e8313,1
b15a3e00,462cbb41,0
b1ec08fd,52fcec75,1
b249e39f,07e7dbf0,0
b2dfeb7c,379642bc,0
b333d0d6,21d2a9e3,1
b36045c1,599e7a0b,2
b3cbdd41,dc29ddeb,0
b3dfeebb,f4fd6276,0
b42ca35e,940a911f,0
b4da9d62,4e8161a8,0
b58a68c1,be80a239,1
b5944f34,4d9c7e6f,0
b5f62ebe,9318c5dd,0
b76184e4,36371e4c,1
b7b744f2,9b669787,0
b8023558,82f0dfca,2
b8307836,053e2fb5,0
b8ba412b,41f5b21f,0
b8e47d1a,3f2e2297,0
b92ff6e8,5a8e7c34,1
ba6746c0,4ecae3c8,1
bab74837,e3efa94b,2
bac233f2,231a4b77,0
bb0ba997,7a3eb9e2,2
bb2d8a81,3c5de5c7,2
bbbb7de7,5d0bc90e,0
bc437d10,1be36b60,0
bc57b9c0,542aa25d,0
bd8f0055,7bafc675,0
be4dbbbe,a33fc72f,0
be7e795e,c4f596b9,0
c0071ae5,c4c02bf1,0
c0222e76,995bc22d,1
c061a149,3c78fd80,1
c0c20060,99429213,0
c0c70f7a,79e913c2,1
c105f563,0730dd4f,0
c1496934,82f6178a,1
c251c83d,f172ad62,0
c2691e2a,c22f6202,3
c4f596b9,560b0e8f,0
c5119dcf,e3f51039,0
c61b2af7,e82675a0,0
c66b4700,90cf590f,2
c6b0597e,38f460ca,0
c6c9e188,957a0fe2,3
c6eff44d,31471ba2,0
c714e45f,f6a4e61f,0
c772d1bc,cd27bc7a,0
c81539b5,c0222e76,1
c81d2836,8e4571e5,0
c84a86c9,91b769c4,1
c88098d7,d9925d1a,0
c8dd1e3b,a8d93d19,0
c9af708b,1ecdecce,0
ca79c985,4cf2143e,0
cb7fb9ed,37e61153,1
cbcd2cbd,aabbd3f3,0
cc6ee97c,070b7e44,0
ccceb7bb,2e3a16b2,0
cccf74e2,9e70233a,1
cd02599c,9c4b0f66,0
cd088732,c93ab42b,0
cd82b7a0,d2986d0f,0
cdc37277,2997178e,1
cec9264f,9ec26e79,0
cedfc41a,9850fe5d,0
cf27c799,d083d420,1
cf4c2cfe,a52397cc,0
cf596442,bcb497d0,0
d026a256,758c1f9d,3
d0b6966e,2c608e0f,0
d0ccc82a,52debb68,0
d132b32b,259f22af,0
d24b21e9,0fe5043d,0
d2554c72,51dd3e81,0
d2986d0f,07ffe871,0
d2addc3b,5819c2ee,1
d2b7d9c7,2eb80bcd,0
d2bbb7c2,9a266912,1
d2ee1185,d2b7d9c7,0
d3101b53,9fd75046,0
d32de66a,912c13d5,0
d3621de7,ff2981f7,0
d38c7b2c,8465541e,3
d395745d,7f1b2251,1
d41626ff,7b91929b,0
d426430e,0111681e,0
d4aae459,8325e43b,0
d604176d,58142c09,1
d61226c1,fc92b087,0
d615628c,9812f213,0
d66f68ff,f2c96ceb,1
d6b12300,a7bc845a,0
d7263d09,71dac5ce,3
d751dd11,89b8710f,0
d7e6b6a8,515360f9,0
d7fd792e,996ee6d2,1
d8245bb3,22e5ae5c,2
d9545c7f,8f449614,0
d9925d1a,0f974e21,1
d993ce1e,e1d09701,0
d9d501b0,e9980419,1
da470981,f26eef30,0
da5a1f81,b7b744f2,0
dabd35f4,54307ea7,0
db4eca1f,6a523d66,3
dbc5276f,60b84ba2,0
dbf1b5fb,119ab159,0
dc21164e,7418a6b1,0
dc7e09a3,43a42aa4,4
dcde8b3d,2fc0f184,0
de37d50d,4939e2c4,0
de61cebd,023ff39b,0
de8946de,3c8a51e8,0
de950c57,070e5f72,1
deb8e15a,fd2e7daf,2
deb9c157,6672b9f9,3
deee904a,2ff7dff0,0
def480fe,eee98e74,0
df2a6e38,bf748049,0
df5a9255,fda65fad,1
df9da64a,d4c6375f,3
e04d08a4,e78d5d49,0
e0a92804,511dca80,1
e0c1ceaf,2f9c615e,0
e0e56cbf,7725bebe,0
e0e7f99e,c1d44cee,4
e15b9606,45cbc37c,0
e1d09701,3cddb008,0
e1fae930,3edcc048,0
e2522f2a,7063693d,1
e25a4ded,979f0303,0
e25c1229,41534b62,0
e26a8c47,19a7f24b,0
e294e895,9df4a607,1
e2cb6ab8,627fde10,2
e3115974,77b34eaa,0
e3a43446,3a300333,2
e3efa94b,d2addc3b,1
e4770f67,b2dfeb7c,0
e51217e1,d1657b57,2
e5a730a1,c81d2836,0
e6273f4d,845de33a,0
e634160b,8.22E+11,2
e6a492b7,834bc47b,0
e6b07da2,5c2bd8b7,1
e799ed40,a0bba65b,0
e7e183d6,7826a786,3
e82675a0,d19e3a5b,0
e8e44de7,5c24cdea,2
e94eac49,ba6746c0,1
e9980419,c57e501c,1
e9c6b279,10a9ddba,0
eb09121b,2b68222d,0
ebdfa294,75177c85,3
ec9d2249,2703572b,2
ecba1953,49c58d86,3
ed008d7b,b7410f61,0
ee3051bd,029aeeed,4
ee7fd70e,48aa37ed,0
ee861e0f,52563d7e,1
ee87a6e7,2595a8b1,2
ee92ab99,60759baa,1
ef1cf016,0a20325a,0
ef635b90,873700c9,0
efe47281,3a0b6b9a,0
efee9553,1.25E+05,2
f0bca72d,aef18cc6,0
f2214ded,9c44ea44,1
f26efc58,49a09e74,0
f364f027,3e5b36c6,1
f36538d8,b6446d54,0
f4beed60,3f215b03,0
f5236a77,96e08010,1
f53c5de2,2c7ee986,0
f57f37e2,24c8407e,0
f6136f3c,283badc3,0
f63df942,93abd178,2
f75619bd,6.07E+102,0
f7935827,77356122,0
f7f90e0f,adbcfe65,1
f8f7adce,77023ea3,0
f95fdc25,bb493a5c,0
f989ac27,2846ef3e,0
f9b11147,ee3051bd,1
fa099d23,d026a256,3
fa13fd17,48b3693d,1
fa96ea1b,92b38093,0
fab60274,06dec439,0
fb85db84,8f31fac3,3
fba92be8,473e3930,1
fce04c3c,6ea57703,0
fcf0fe9e,3ad87c80,0
fd1062e5,e3482ccf,0
fd2e7daf,43b8bba6,0
fd3e6747,da49a7da,0
fda65fad,0bbda4ba,0
fdba2cde,36d67921,0
fe17fc00,1df036ea,0
ffeef642,a8739244,0
